ISSN,EISSN,影响因子,JCR分区
0007-9235,1542-4863,232.4,Q1
1740-1526,1740-1534,103.3,Q1
1474-1776,1474-1784,101.8,Q1
1471-0072,1471-0080,90.2,Q1
2157-1724,2157-1716,89.6,Q1
0140-6736,1474-547X,88.5,Q1
2058-8437,2058-8437,86.2,Q1
1759-4774,1759-4782,82.2,Q1
0028-4793,1533-4406,78.5,Q1
,2662-138X,71.5,Q1
1474-175X,1474-1768,66.8,Q1
1723-8617,2051-5545,65.8,Q1
0923-7534,1569-8041,65.4,Q1
2367-3613,1433-8351,62.5,Q1
1474-1733,1474-1741,60.9,Q1
2056-676X,2056-676X,60.6,Q1
1057-5987,1545-8601,60.1,Q1
2058-7546,2058-7546,60.1,Q1
,2662-8449,56.0,Q1
0009-2665,1520-6890,55.8,Q1
0098-7484,1538-3598,55.0,Q1
2095-9907,2059-3635,52.7,Q1
1471-0056,1471-0064,52.0,Q1
,2397-3358,51.7,Q1
1759-5045,1759-5053,51.0,Q1
1078-8956,1546-170X,50.0,Q1
1545-8636,1545-8636,49.8,Q1
0028-0836,1476-4687,48.5,Q1
,1553-877X,46.7,Q1
0036-8075,1095-9203,45.8,Q1
1474-4422,1474-4465,45.5,Q1
0034-6861,1539-0756,44.8,Q1
2520-1158,2520-1158,44.6,Q1
1535-6108,1878-3686,44.5,Q1
1759-5002,1759-5010,44.2,Q1
0959-535X,1756-1833,42.7,Q1
0092-8674,1097-4172,42.5,Q1
0732-183X,1527-7755,41.9,Q1
2213-8587,2213-8595,41.8,Q1
1087-0156,1546-1696,41.7,Q1
2520-1131,2520-1131,40.9,Q1
,1756-8722,40.4,Q1
1759-5029,1759-5037,40.0,Q1
0079-6425,1873-2208,40.0,Q1
1759-5061,1759-507X,39.8,Q1
,2522-5820,39.5,Q1
0306-0012,1460-4744,39.0,Q1
0009-7322,1524-4539,38.6,Q1
,2468-1253,38.6,Q1
1476-1122,1476-4660,38.5,Q1
,2731-6092,37.6,Q1
8755-1209,1944-9208,37.3,Q1
0360-1285,1873-216X,37.0,Q1
2097-2431,2667-1417,36.6,Q1
2311-6706,2150-5551,36.3,Q1
2520-8489,2520-8136,36.3,Q1
1470-2045,1474-5488,35.9,Q1
0195-668X,1522-9645,35.6,Q1
2542-4351,2542-4351,35.4,Q1
1748-3387,1748-3395,34.9,Q1
1553-4006,1553-4014,34.5,Q1
,1476-4598,33.9,Q1
2159-8274,2159-8290,33.3,Q1
0732-0582,1545-3278,33.3,Q1
2770-5986,2770-596X,33.2,Q1
1759-4758,1759-4766,33.1,Q1
0168-8278,1600-0641,33.0,Q1
1749-4885,1749-4893,32.9,Q1
2213-2600,,32.8,Q1
1759-4790,1759-4804,32.7,Q1
0066-4146,1545-4282,32.5,Q1
1548-7091,1548-7105,32.1,Q1
2097-1710,2662-8643,32.1,Q1
2767-4401,2767-441X,31.6,Q1
2327-0608,2327-0616,31.1,Q1
1473-3099,1474-4457,31.0,Q1
1550-4131,1932-7420,30.9,Q1
1754-5692,1754-5706,30.8,Q1
1947-5454,1947-5462,30.7,Q1
0066-4189,1545-4479,30.2,Q1
0370-1573,1873-6270,29.5,Q1
0066-4308,1545-2085,29.4,Q1
1061-4036,1546-1718,29.0,Q1
0031-9333,1522-1210,28.7,Q1
,2662-1347,28.5,Q1
0360-0300,1557-7341,28.0,Q1
1529-2908,1529-2916,27.6,Q1
2367-3648,1614-4961,27.6,Q1
2470-9476,2470-9476,27.5,Q1
1758-678X,1758-6798,27.1,Q1
2398-9629,2398-9629,27.1,Q1
0268-4012,1873-4707,27.0,Q1
1759-0876,1759-0884,27.0,Q1
0935-9648,1521-4095,26.8,Q1
1387-6473,1872-9630,26.8,Q1
0927-796X,1879-212X,26.8,Q1
1471-003X,1471-0048,26.7,Q1
2157-846X,2157-846X,26.6,Q1
0935-4956,1432-0754,26.5,Q1
1543-5008,1545-2123,26.5,Q1
1074-7613,1097-4180,26.3,Q1
0079-6700,1873-1619,26.1,Q1
1614-6832,1614-6840,26.0,Q1
0018-9219,1558-2256,25.9,Q1
1001-0602,1748-7838,25.9,Q1
0017-5749,1468-3288,25.8,Q1
2666-6758,2666-6758,25.7,Q1
1935-8237,1935-8245,25.4,Q1
0302-2838,1873-7560,25.2,Q1
2468-2667,2468-2667,25.2,Q1
0016-5085,1528-0012,25.1,Q1
,2772-834X,24.9,Q1
,2523-3548,24.9,Q1
2215-0374,,24.8,Q1
1560-2745,1878-9129,24.8,Q1
,2637-9368,24.2,Q1
,2589-7500,24.1,Q1
1674-2052,1752-9867,24.1,Q1
,2731-6084,24.1,Q1
,2522-5839,23.9,Q1
1943-8206,,23.8,Q1
2589-7780,2589-7780,23.8,Q1
0010-8545,1873-3840,23.5,Q1
2095-5545,2047-7538,23.4,Q1
2168-6106,2168-6114,23.3,Q1
0006-4971,1528-0020,23.1,Q1
2095-7467,2054-9369,22.9,Q1
2766-8509,2766-2098,22.5,Q1
2096-4579,2097-3993,22.4,Q1
0735-1097,1558-3597,22.3,Q1
,2567-3165,22.3,Q1
0066-4219,1545-326X,22.1,Q1
1369-7021,1873-4103,22.0,Q1
0163-769X,1945-7189,22.0,Q1
,2662-1355,21.9,Q1
,2731-0574,21.8,Q1
2522-0128,2522-0136,21.8,Q1
1368-7646,1532-2084,21.7,Q1
,2542-5196,21.6,Q1
2168-6149,2168-6157,21.3,Q1
2524-7921,2524-793X,21.3,Q1
2766-8479,2692-4552,21.3,Q1
2631-8644,2631-7990,21.3,Q1
0342-4642,1432-1238,21.2,Q1
2095-9273,2095-9281,21.1,Q1
0926-3373,1873-3883,21.1,Q1
0903-1936,1399-3003,21.0,Q1
1526-5161,1536-0075,20.8,Q1
,2522-5812,20.8,Q1
1556-0864,1556-1380,20.8,Q1
1360-1385,1878-4372,20.8,Q1
0163-7525,1545-2093,20.7,Q1
0034-4885,1361-6633,20.7,Q1
0003-4967,1468-2060,20.6,Q1
0066-4154,1545-4509,20.5,Q1
1934-5909,1875-9777,20.4,Q1
,2666-5247,20.4,Q1
1610-3653,1610-3661,20.4,Q1
,2452-199X,20.3,Q1
1755-4330,1755-4349,20.2,Q1
2405-8297,2405-8289,20.2,Q1
2374-2437,2374-2445,20.1,Q1
1097-6256,1546-1726,20.0,Q1
,2731-0582,20.0,Q1
0165-6147,1873-3735,19.9,Q1
0033-2909,1939-1455,19.8,Q1
1672-7681,2042-0226,19.8,Q1
2451-9294,2451-9294,19.6,Q1
2058-5276,2058-5276,19.4,Q1
1073-449X,1535-4970,19.4,Q1
,2662-8465,19.4,Q1
0001-8686,1873-3727,19.3,Q1
0893-8512,1098-6618,19.3,Q1
2329-9266,2329-9274,19.2,Q1
,2662-1991,19.1,Q1
1465-7392,1476-4679,19.1,Q1
0066-4278,1545-1585,19.1,Q1
1616-301X,1616-3028,19.0,Q1
1941-1405,1941-0611,18.9,Q1
,2577-5421,18.8,Q1
0890-6955,1879-2170,18.8,Q1
1931-3128,1934-6069,18.7,Q1
0162-8828,1939-3539,18.6,Q1
1745-2473,1745-2481,18.4,Q1
2096-0433,2096-0662,18.3,Q1
,2662-8457,18.3,Q1
2380-8195,2380-8195,18.2,Q1
,2692-7632,18.1,Q1
0962-8924,1879-3088,18.1,Q1
2168-6203,2168-6211,18.0,Q1
2214-109X,2214-109X,18.0,Q1
2096-6482,2589-9651,17.9,Q1
0146-6410,1873-2224,17.9,Q1
2352-3026,,17.7,Q1
0253-9837,1872-2067,17.7,Q1
0001-4842,1520-4898,17.7,Q1
1529-1006,1539-6053,17.6,Q1
0169-409X,1872-8294,17.6,Q1
,2772-9850,17.6,Q1
,1750-1326,17.5,Q1
2590-2393,2590-2385,17.5,Q1
2405-8033,2405-8025,17.5,Q1
0033-3190,1423-0348,17.4,Q1
0149-2195,1545-861X,17.3,Q1
0031-6997,1521-0081,17.3,Q1
0169-5347,1872-8383,17.3,Q1
0733-8716,1558-0008,17.2,Q1
1364-6613,1879-307X,17.2,Q1
0166-0616,1872-9797,17.1,Q1
2168-622X,2168-6238,17.1,Q1
2095-5138,2053-714X,17.1,Q1
2211-2855,2211-3282,17.1,Q1
2590-1168,2590-1168,17.0,Q1
2287-2728,2287-285X,16.9,Q1
,1521-3773,16.9,Q1
2365-9440,2365-9440,16.7,Q1
0066-4170,1545-4487,16.7,Q1
0149-5992,1935-5548,16.6,Q1
2226-4108,2227-8508,16.6,Q1
1097-2765,1097-4164,16.6,Q1
0008-5472,1538-7445,16.6,Q1
1548-5943,1548-5951,16.5,Q1
1941-6520,1941-6067,16.5,Q1
2665-9913,2665-9913,16.4,Q1
2473-2397,2168-6831,16.4,Q1
1540-1405,1540-1413,16.4,Q1
2097-2512,2773-1537,16.4,Q1
2470-9468,2470-9468,16.3,Q1
1364-0321,1879-0690,16.3,Q1
0168-9525,1362-4555,16.3,Q1
0306-3674,1473-0480,16.2,Q1
0009-7330,1524-4571,16.2,Q1
0376-0421,1873-1724,16.2,Q1
1355-4786,1460-2369,16.1,Q1
1752-0894,1752-0908,16.1,Q1
0003-6900,2379-0407,16.1,Q1
1754-2189,1750-2799,16.0,Q1
1936-0851,1936-086X,16.0,Q1
1543-5938,1545-2050,16.0,Q1
2397-3374,2397-3374,15.9,Q1
2097-1133,2692-7640,15.9,Q1
0270-9139,1527-3350,15.8,Q1
2160-3308,2160-3308,15.7,Q1
0906-6713,1600-0757,15.7,Q1
1044-579X,1096-3650,15.7,Q1
,2041-1723,15.7,Q1
0002-7863,1520-5126,15.6,Q1
2352-4642,2352-4642,15.5,Q1
2530-7614,2444-569X,15.5,Q1
1566-2535,1872-6305,15.5,Q1
,2397-4621,15.5,Q1
2751-7438,2751-7446,15.5,Q1
0950-6608,1743-2804,15.5,Q1
1935-7516,1935-7516,15.4,Q1
0924-2244,1879-3053,15.4,Q1
1350-9047,1476-5403,15.4,Q1
2590-3330,2590-3322,15.3,Q1
0033-8419,,15.2,Q1
0003-4819,1539-3704,15.2,Q1
1936-878X,1876-7591,15.2,Q1
2047-9158,2047-9158,15.2,Q1
2077-7000,2077-7019,15.1,Q1
2398-6352,2398-6352,15.1,Q1
0166-2236,1878-108X,15.1,Q1
0896-6273,1097-4199,15.0,Q1
2095-4700,2095-6231,15.0,Q1
2168-6254,2168-6262,14.9,Q1
2095-4956,2095-4956,14.9,Q1
0163-7827,1873-2194,14.9,Q1
0167-7799,1879-3096,14.9,Q1
0966-842X,1878-4380,14.9,Q1
2689-5269,2689-5277,14.8,Q1
,2666-6510,14.8,Q1
1350-9462,1873-1635,14.7,Q1
0002-953X,1535-7228,14.7,Q1
1046-3976,1559-0097,14.7,Q1
,2643-6728,14.7,Q1
2211-3835,2211-3843,14.6,Q1
1946-6234,1946-6242,14.6,Q1
2666-7568,2666-7568,14.6,Q1
1759-4812,1759-4820,14.6,Q1
2096-2797,2468-0257,14.6,Q1
,2572-9241,14.6,Q1
2397-334X,2397-334X,14.5,Q1
2772-4247,2772-4247,14.5,Q1
,2001-3078,14.5,Q1
0012-6667,1179-1950,14.4,Q1
2326-3601,2326-3598,14.3,Q1
2379-8858,2379-8904,14.3,Q1
2397-3366,2397-3366,14.3,Q1
1005-0302,1941-1162,14.3,Q1
1571-0645,1873-1457,14.3,Q1
2666-4984,2666-4984,14.3,Q1
1554-8627,1554-8635,14.3,Q1
0140-9883,1873-6181,14.2,Q1
1359-8368,1879-1069,14.2,Q1
0278-6125,1878-6642,14.2,Q1
2380-6583,2380-6591,14.1,Q1
,2575-0356,14.1,Q1
,2198-3844,14.1,Q1
1541-4337,1541-4337,14.1,Q1
,2573-5144,14.0,Q1
0363-7425,1930-3807,13.9,Q1
0269-2821,1573-7462,13.9,Q1
1471-4906,1471-4981,13.9,Q1
2213-9567,2213-9567,13.8,Q1
2666-7924,2666-7924,13.8,Q1
1471-4914,1471-499X,13.8,Q1
,2666-9358,13.8,Q1
0001-8732,1460-6976,13.8,Q1
2095-2686,2212-6066,13.7,Q1
0140-525X,1469-1825,13.7,Q1
1552-4450,1552-4469,13.7,Q1
1932-4553,1941-0484,13.7,Q1
1936-122X,1936-1238,13.7,Q1
1057-7149,1941-0042,13.7,Q1
,2692-4560,13.7,Q1
2055-026X,2055-0278,13.6,Q1
0021-9738,1558-8238,13.6,Q1
2832-6237,2832-6245,13.6,Q1
,2589-5974,13.6,Q1
2524-7972,2524-7867,13.5,Q1
,2162-3619,13.5,Q1
1000-6818,,13.5,Q1
2515-2459,2515-2467,13.4,Q1
1522-8517,1523-5866,13.4,Q1
1748-5908,1748-5908,13.4,Q1
2214-1588,2214-1588,13.4,Q1
