ISSN,EISSN,中科院分区
2649-664X,2649-6100,4
2053-1583,,3
2190-572X,2190-5738,4
2254-3376,,4
2254-4143,,4
2254-6529,,4
2329-7662,2329-7670,4
2365-6271,,3
0128-5157,2550-2247,3
2013-3294,,4
1619-4500,1614-2411,4
2575-3126,,4
0389-9160,,4
1516-3210,1984-4182,4
0171-5410,,4
1559-7768,1559-7776,4
0149-1423,1558-9153,3
1550-7416,,3
1530-9932,,4
2472-3444,2330-5517,4
1532-8813,,4
2166-4072,2164-9731,3
0001-3072,1467-6281,4
2316-9451,,4
2007-4204,2448-6132,4
0102-6720,2317-6326,4
2366-004X,2366-0058,3
2275-6639,,4
0025-5858,1865-8784,4
2096-6326,2662-1738,2
0314-8769,1837-9389,3
2014-8526,2014-8534,4
2011-0731,,4
1012-8255,2056-5127,4
1069-6563,1553-2712,3
2299-7164,2353-3218,4
1040-2446,1938-808X,1
2374-2895,,4
1876-2859,1876-2867,3
1042-9670,1545-7230,4
1076-6332,1878-4046,2
1941-6520,1941-6067,1
2168-1007,,2
0001-4273,1948-0989,1
1537-260X,,2
1558-9080,,2
0363-7425,1930-3807,1
2074-5354,2522-9745,4
0044-5851,1712-7432,4
0044-586X,2107-7207,3
2663-0575,2663-0583,4
2683-1007,,4
0001-4575,1879-2057,1
1578-908X,2255-1271,4
1132-192X,2340-4507,4
0898-9621,1545-5815,2
0001-4788,2159-4260,4
0810-5391,1467-629X,4
0951-3574,1758-4205,2
2194-6051,2152-2820,4
0963-9284,1468-4489,3
0155-9982,1467-6303,3
0148-4184,2327-4468,4
2155-2851,2155-286X,4
1032-3732,1749-3374,4
0888-7993,1558-7975,3
1744-9480,1744-9499,3
0361-3682,1873-6289,2
1911-382X,1911-3838,4
1030-9616,1839-5465,4
0001-4826,1558-7967,2
0001-4842,1520-4898,1
2643-6728,,1
0949-1775,1432-0517,4
1886-4805,,4
2326-3253,,4
0889-325X,1944-737X,4
0889-3241,1944-7361,4
1932-2232,1932-2240,4
0360-0300,1557-7341,1
1936-1955,,4
1556-4673,1556-4711,3
1550-4832,1550-4840,4
0146-4833,1943-5819,4
1551-9031,,4
1936-7228,1936-7236,2
1549-6325,1549-6333,3
1544-3558,1544-3965,3
1544-3566,1544-3973,3
2375-4699,2375-4702,4
1556-4665,1556-4703,4
1942-3454,1942-3462,4
1529-3785,1557-945X,4
0734-2071,1557-7333,4
1073-0516,1557-7325,1
1946-6226,,3
2378-962X,2378-9638,4
0362-5915,1557-4644,2
1084-4309,1557-7309,4
2167-8375,2167-8383,4
1539-9087,1558-3465,3
0730-0301,1557-7368,1
2573-9522,,2
1046-8188,1558-2868,2
2157-6904,2157-6912,3
2160-6455,2160-6463,4
2691-1914,2577-6207,3
1533-5399,1557-6051,3
1556-4681,1556-472X,3
2158-656X,2158-6578,4
0098-3500,1557-7295,2
1049-3301,1558-1195,4
2376-3639,2376-3647,4
1551-6857,1551-6865,3
2329-4949,2329-4957,4
2471-2566,2471-2574,3
0164-0925,1558-4593,2
2643-6809,2643-6817,3
1936-7406,1936-7414,3
1550-4859,1550-4867,4
1049-331X,1557-7392,1
2374-0353,2374-0361,4
1553-3077,1553-3093,3
1559-1131,1559-114X,4
0001-494X,2282-0035,4
1063-7710,1562-6865,4
1346-3969,1347-5177,4
0814-6039,1839-2571,4
2624-599X,,4
1828-454X,,4
2578-5745,,3
1585-1923,1588-2519,1
2692-1952,,4
2576-6422,,3
2637-6113,,3
2574-0962,,3
1944-8244,1944-8252,2
2574-0970,,3
2637-6105,,2
2694-2437,,4
2373-9878,,3
2155-5435,,1
2374-7943,2374-7951,1
1554-8929,1554-8937,2
1878-0504,,4
1948-7193,,3
2472-3452,,3
2380-8195,,1
2694-2488,,3
2694-2518,,2
2690-0645,,3
2690-0637,,3
2692-1944,,4
2373-8227,,2
2161-1653,,1
